,START_PLACE_NAME,END_PLACE_NAME,parking_user
179,Archives-Navy Memorial,Benning Road,0.0
180,Archives-Navy Memorial,Braddock Road,0.0
181,Archives-Navy Memorial,Branch Avenue,0.0
182,Archives-Navy Memorial,Capitol South,0.0
183,Archives-Navy Memorial,Clarendon,0.0
184,Archives-Navy Memorial,College Park-U of MD,1.0
185,Archives-Navy Memorial,Columbia Heights,0.0
186,Archives-Navy Memorial,Congress Heights,0.0
187,Archives-Navy Memorial,Crystal City,0.0
188,Archives-Navy Memorial,Deanwood,0.0
189,Archives-Navy Memorial,Eastern Market,0.0
190,Archives-Navy Memorial,Eisenhower Avenue,0.0
191,Archives-Navy Memorial,Farragut North,0.0
192,Archives-Navy Memorial,Farragut West,0.0
193,Archives-Navy Memorial,Federal Center SW,0.0
194,Archives-Navy Memorial,Federal Triangle,0.0
195,Archives-Navy Memorial,Foggy Bottom,0.0
196,Archives-Navy Memorial,Fort Totten,0.0
197,Archives-Navy Memorial,Franconia-Springfield,0.0
198,Archives-Navy Memorial,Gallery Place-Chinatown,0.0
199,Archives-Navy Memorial,Georgia Avenue-Petworth,0.0
200,Archives-Navy Memorial,Glenmont,0.0
201,Archives-Navy Memorial,Greenbelt,0.0
202,Archives-Navy Memorial,Huntington,1.0
203,Archives-Navy Memorial,King Street,0.0
204,Archives-Navy Memorial,L'Enfant Plaza,0.0
205,Archives-Navy Memorial,Landover,0.0
206,Archives-Navy Memorial,Largo Town Center,0.0
207,Archives-Navy Memorial,McLean,0.0
208,Archives-Navy Memorial,McPherson Square,0.0
209,Archives-Navy Memorial,Metro Center,0.0
210,Archives-Navy Memorial,Minnesota Avenue,0.0
211,Archives-Navy Memorial,Morgan Blvd.,0.0
212,Archives-Navy Memorial,Mt. Vernon Square-UDC,0.0
213,Archives-Navy Memorial,Navy Yard,0.0
214,Archives-Navy Memorial,Naylor Road,0.0
215,Archives-Navy Memorial,New Carrollton,0.0
216,Archives-Navy Memorial,New York Ave,0.0
217,Archives-Navy Memorial,Pentagon,0.0
218,Archives-Navy Memorial,Pentagon City,0.0
219,Archives-Navy Memorial,Potomac Avenue,0.0
220,Archives-Navy Memorial,Prince George's Plaza,0.0
221,Archives-Navy Memorial,Reagan Washington National Airport,0.0
222,Archives-Navy Memorial,Rhode Island Avenue,0.0
223,Archives-Navy Memorial,Rosslyn,0.0
224,Archives-Navy Memorial,Shaw-Howard University,0.0
225,Archives-Navy Memorial,Silver Spring,0.0
226,Archives-Navy Memorial,Southern Avenue,0.0
227,Archives-Navy Memorial,Stadium-Armory,0.0
228,Archives-Navy Memorial,Suitland,0.0
229,Archives-Navy Memorial,Takoma,0.0
230,Archives-Navy Memorial,Tysons Corner,0.0
231,Archives-Navy Memorial,U Street-Cardozo,0.0
232,Archives-Navy Memorial,Union Station,0.0
233,Archives-Navy Memorial,Van Ness-UDC,0.0
234,Archives-Navy Memorial,Vienna,0.0
235,Archives-Navy Memorial,Waterfront,0.0
236,Archives-Navy Memorial,West Hyattsville,0.0
237,Archives-Navy Memorial,Wheaton,0.0
238,Archives-Navy Memorial,Wiehle,0.0
239,Arlington Cemetery,Capitol South,0.0
240,Arlington Cemetery,Clarendon,0.0
241,Arlington Cemetery,Crystal City,0.0
242,Arlington Cemetery,Eastern Market,0.0
243,Arlington Cemetery,Farragut West,0.0
244,Arlington Cemetery,Federal Triangle,0.0
245,Arlington Cemetery,Foggy Bottom,0.0
246,Arlington Cemetery,Franconia-Springfield,0.0
247,Arlington Cemetery,Greenbelt,0.0
248,Arlington Cemetery,King Street,0.0
249,Arlington Cemetery,McPherson Square,0.0
250,Arlington Cemetery,Metro Center,0.0
251,Arlington Cemetery,New York Ave,0.0
252,Arlington Cemetery,Pentagon,0.0
253,Arlington Cemetery,Pentagon City,0.0
254,Arlington Cemetery,Reagan Washington National Airport,0.0
255,Arlington Cemetery,Rosslyn,0.0
256,Arlington Cemetery,Smithsonian,0.0
257,Arlington Cemetery,Union Station,0.0
258,Ballston,Addison Road,0.0
259,Ballston,Anacostia,0.0
260,Ballston,Archives-Navy Memorial,0.0
261,Ballston,Arlington Cemetery,0.0
262,Ballston,Benning Road,0.0
263,Ballston,Bethesda,0.0
264,Ballston,Braddock Road,0.0
265,Ballston,Branch Avenue,0.0
266,Ballston,Brookland,0.0
267,Ballston,Capitol Heights,0.0
268,Ballston,Capitol South,0.0
269,Ballston,Cheverly,0.0
270,Ballston,Clarendon,0.0
271,Ballston,Cleveland Park,0.0
272,Ballston,College Park-U of MD,0.0
273,Ballston,Columbia Heights,0.0
274,Ballston,Congress Heights,0.0
