ID,PRIMARY_NAME_FY23,walkshed_filename,Name_1,Workers 16 and Over_p5,proportionjobs_p5
MSTN_096,Loudoun Gateway,Loudoun Gateway,Loudoun Gateway,940,19.143737771219232
MSTN_087,McLean,MCLEAN,MCLEAN,13840,4335.118895702254
MSTN_023,McPherson Sq,MCPHERSON SQUARE,MCPHERSON SQUARE,189595,89358.30017437035
MSTN_050,Medical Center,MEDICAL CENTER,MEDICAL CENTER,28730,7384.417481330081
MSTN_024,Metro Center,METRO CENTER,METRO CENTER,158675,68143.0278167197
MSTN_025,Minnesota Ave,MINNESOTA AVE,MINNESOTA AVE,4420,827.3756081325647
MSTN_086,Morgan Boulevard,MORGAN BOULEVARD,MORGAN BOULEVARD,1310,214.0695404922092
MSTN_026,Mt Vernon Sq,MT VERNON SQ 7TH ST-CONVENTION CENTER,MT VERNON SQ 7TH ST-CONVENTION CENTER,75795,29064.27579420057
MSTN_027,Navy Yard-Ballpark,NAVY YARD-BALLPARK,NAVY YARD-BALLPARK,37440,9835.746789045483
MSTN_074,Naylor Road,NAYLOR ROAD,NAYLOR ROAD,5045,588.3973321687757
MSTN_056,New Carrollton,NEW CARROLLTON,NEW CARROLLTON,12215,2513.578250701144
MSTN_028,NoMa-Gallaudet U,NOMA-GALLAUDET,NOMA-GALLAUDET,44535,12663.556111118349
MSTN_045,North Bethesda,WHITE FLINT,WHITE FLINT,22075,2795.7193206074726
MSTN_070,Pentagon,PENTAGON,PENTAGON,27080,2419.0350833916496
MSTN_071,Pentagon City,PENTAGON CITY,PENTAGON CITY,46575,7974.472242056228
MSTN_029,Potomac Ave,POTOMAC AVE,POTOMAC AVE,23665,4151.428889296494
MSTN_092,Reston Town Center,Reston Town Center,Reston Town Center,25645,8989.565734880365
MSTN_030,Rhode Island Ave,RHODE ISLAND AVE-BRENTWOOD,RHODE ISLAND AVE-BRENTWOOD,7480,1688.8401412117053
MSTN_042,Rockville,ROCKVILLE,ROCKVILLE,15370,3916.668623186703
MSTN_073,Ronald Reagan Washington National Airport,RONALD REAGAN WASHINGTON NATIONAL AIRPORT,RONALD REAGAN WASHINGTON NATIONAL AIRPORT,4895,889.1063390580555
MSTN_060,Rosslyn,ROSSLYN,ROSSLYN,25360,2977.011276369936
MSTN_041,Shady Grove,SHADY GROVE,SHADY GROVE,12745,1951.229847183227
MSTN_031,Shaw-Howard U,SHAW-HOWARD U,SHAW-HOWARD U,21840,9094.046871896233
MSTN_051,Silver Spring,SILVER SPRING,SILVER SPRING,25625,3672.11842624067
MSTN_032,Smithsonian,SMITHSONIAN,SMITHSONIAN,78725,9890.335476193992
MSTN_076,Southern Ave,SOUTHERN AVENUE,SOUTHERN AVENUE,1470,234.13861754343162
MSTN_090,Spring Hill,SPRING HILL,SPRING HILL,19650,5677.410303196148
MSTN_033,Stadium-Armory,STADIUM-ARMORY,STADIUM-ARMORY,5025,2386.425501775957
MSTN_075,Suitland,SUITLAND,SUITLAND,6890,1047.3352830619663
MSTN_034,Takoma,TAKOMA,TAKOMA,13090,3024.943598936097
MSTN_035,Tenleytown-AU,TENLEYTOWN-AU,TENLEYTOWN-AU,18720,4918.5087965593475
MSTN_043,Twinbrook,TWINBROOK,TWINBROOK,21885,2825.5002099232793
MSTN_088,Tysons,TYSONS CORNER,TYSONS CORNER,44055,10647.490625596134
MSTN_036,U Street,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,19770,9044.401911406752
MSTN_037,Union Station,UNION STATION,UNION STATION,85215,26474.21443371159
MSTN_081,Van Dorn Street,VAN DORN STREET,VAN DORN STREET,5035,411.36590538085807
MSTN_038,Van Ness-UDC,VAN NESS-UDC,VAN NESS-UDC,8480,2102.7211609128503
MSTN_069,Vienna,VIENNA/FAIRFAX-GMU,VIENNA/FAIRFAX-GMU,3600,685.8011976935618
MSTN_066,Virginia Sq-GMU,VIRGINIA SQUARE-GMU,VIRGINIA SQUARE-GMU,26980,7914.142809533385
MSTN_039,Waterfront,WATERFRONT,WATERFRONT,26505,3805.228767210926
MSTN_059,West Falls Church,WEST FALLS CHURCH-VT/UVA,WEST FALLS CHURCH-VT/UVA,5815,496.8493409527546
MSTN_055,West Hyattsville,WEST HYATTSVILLE,WEST HYATTSVILLE,2065,468.22042288685975
MSTN_046,Wheaton,WHEATON,WHEATON,5990,1113.074724035793
MSTN_091,Wiehle-Reston East,WIEHLE-RESTON EAST,WIEHLE-RESTON EAST,26325,1874.2847308536857
MSTN_040,Woodley Park,WOODLEY PARK-ZOO/ADAMS MORGAN,WOODLEY PARK-ZOO/ADAMS MORGAN,7460,2435.70816098003
