,station_name_o,lat_o,lon_o,station_name_d,lat_d,lon_d,google_driving_minutes,google_driving_miles
1577,College Park-U of Md,38.98,-76.93,Grosvenor-Strathmore,39.03,-77.1,26.5,13.14
1673,Columbia Heights,38.93,-77.03,Grosvenor-Strathmore,39.03,-77.1,27.68,10.85
1769,Congress Heights,38.85,-76.99,Grosvenor-Strathmore,39.03,-77.1,36.33,28.28
1865,Court House,38.89,-77.09,Grosvenor-Strathmore,39.03,-77.1,27.57,20.43
1961,Crystal City,38.86,-77.05,Grosvenor-Strathmore,39.03,-77.1,29.35,24.17
2057,Deanwood,38.91,-76.93,Grosvenor-Strathmore,39.03,-77.1,26.82,21.22
2153,Dulles Airport,38.96,-77.45,Grosvenor-Strathmore,39.03,-77.1,30.68,25.65
2249,Dunn Loring,38.88,-77.23,Grosvenor-Strathmore,39.03,-77.1,18.28,15.03
2345,Dupont Circle,38.91,-77.04,Grosvenor-Strathmore,39.03,-77.1,29.08,10.14
2441,East Falls Church,38.89,-77.16,Grosvenor-Strathmore,39.03,-77.1,22.48,16.04
2537,Eastern Market,38.88,-77.0,Grosvenor-Strathmore,39.03,-77.1,33.1,25.47
2633,Eisenhower Ave,38.8,-77.07,Grosvenor-Strathmore,39.03,-77.1,35.87,28.93
2729,Farragut West,38.9,-77.04,Grosvenor-Strathmore,39.03,-77.1,31.77,10.23
2825,Farragut West,38.9,-77.04,Grosvenor-Strathmore,39.03,-77.1,33.92,10.48
2921,Waterfront,38.88,-77.02,Grosvenor-Strathmore,39.03,-77.1,32.82,27.14
8682,Waterfront,38.88,-77.02,Grosvenor-Strathmore,39.03,-77.1,35.2,27.8
3017,Smithsonian,38.89,-77.03,Grosvenor-Strathmore,39.03,-77.1,32.18,23.7
7242,Smithsonian,38.89,-77.03,Grosvenor-Strathmore,39.03,-77.1,32.32,24.03
3113,Foggy Bottom-GWU,38.9,-77.05,Grosvenor-Strathmore,39.03,-77.1,29.3,22.99
3209,Forest Glen,39.02,-77.04,Grosvenor-Strathmore,39.03,-77.1,6.93,4.68
3305,Fort Totten,38.95,-77.0,Grosvenor-Strathmore,39.03,-77.1,28.65,9.91
3401,Franconia-Springfield,38.77,-77.17,Grosvenor-Strathmore,39.03,-77.1,32.57,24.68
3497,Friendship Heights,38.96,-77.09,Grosvenor-Strathmore,39.03,-77.1,15.28,4.87
3593,Gallery Place,38.9,-77.02,Grosvenor-Strathmore,39.03,-77.1,36.93,28.51
4458,Gallery Place,38.9,-77.02,Grosvenor-Strathmore,39.03,-77.1,34.18,27.77
3689,Georgia Ave-Petworth,38.94,-77.02,Grosvenor-Strathmore,39.03,-77.1,26.73,10.6
3785,Glenmont,39.06,-77.05,Grosvenor-Strathmore,39.03,-77.1,17.3,5.96
3881,Greenbelt,39.01,-76.91,Grosvenor-Strathmore,39.03,-77.1,15.2,13.03
3977,Greensboro,38.92,-77.23,Grosvenor-Strathmore,39.03,-77.1,19.75,14.34
4170,Herndon,38.95,-77.38,Grosvenor-Strathmore,39.03,-77.1,24.07,21.26
4266,Huntington,38.79,-77.08,Grosvenor-Strathmore,39.03,-77.1,34.72,28.8
4362,Innovation Center,38.96,-77.42,Grosvenor-Strathmore,39.03,-77.1,30.23,24.03
4554,King St-Old Town,38.81,-77.06,Grosvenor-Strathmore,39.03,-77.1,34.45,29.12
4746,Landover,38.93,-76.89,Grosvenor-Strathmore,39.03,-77.1,25.5,20.87
4842,Largo Town Center,38.9,-76.85,Grosvenor-Strathmore,39.03,-77.1,25.52,21.21
4938,Loudoun Gateway,38.99,-77.46,Grosvenor-Strathmore,39.03,-77.1,32.88,27.83
5034,McLean,38.92,-77.21,Grosvenor-Strathmore,39.03,-77.1,15.7,12.08
5130,Metro Center,38.9,-77.03,Grosvenor-Strathmore,39.03,-77.1,35.12,10.72
5322,Metro Center,38.9,-77.03,Grosvenor-Strathmore,39.03,-77.1,38.75,11.35
5226,Medical Center,39.0,-77.1,Grosvenor-Strathmore,39.03,-77.1,7.08,2.47
5418,Minnesota Ave,38.9,-76.95,Grosvenor-Strathmore,39.03,-77.1,26.05,21.87
5514,Morgan Boulevard,38.89,-76.87,Grosvenor-Strathmore,39.03,-77.1,28.28,23.16
5610,Shaw-Howard U,38.91,-77.02,Grosvenor-Strathmore,39.03,-77.1,38.12,11.26
7050,Shaw-Howard U,38.91,-77.02,Grosvenor-Strathmore,39.03,-77.1,35.6,12.21
5706,Navy Yard-Ballpark,38.88,-77.01,Grosvenor-Strathmore,39.03,-77.1,33.52,26.18
5802,Naylor Road,38.85,-76.96,Grosvenor-Strathmore,39.03,-77.1,36.22,32.11
5898,New Carrollton,38.95,-76.87,Grosvenor-Strathmore,39.03,-77.1,23.08,17.64
5994,NoMa-Gallaudet U,38.91,-77.0,Grosvenor-Strathmore,39.03,-77.1,40.1,13.47
6090,Pentagon,38.87,-77.05,Grosvenor-Strathmore,39.03,-77.1,31.02,23.93
6186,Pentagon City,38.86,-77.06,Grosvenor-Strathmore,39.03,-77.1,33.77,24.62
6282,Potomac Ave,38.88,-76.99,Grosvenor-Strathmore,39.03,-77.1,31.77,25.0
6378,Prince George's Plaza,38.97,-76.96,Grosvenor-Strathmore,39.03,-77.1,25.98,13.2
6474,Reston Town Center,38.95,-77.36,Grosvenor-Strathmore,39.03,-77.1,33.22,29.67
6570,Rhode Island Ave,38.92,-77.0,Grosvenor-Strathmore,39.03,-77.1,39.35,13.25
6666,Rockville,39.08,-77.15,Grosvenor-Strathmore,39.03,-77.1,16.68,5.05
6762,Ronald Reagan Washington National Airport,38.85,-77.04,Grosvenor-Strathmore,39.03,-77.1,31.93,25.07
6858,Rosslyn,38.9,-77.07,Grosvenor-Strathmore,39.03,-77.1,27.9,21.07
6954,Shady Grove,39.12,-77.16,Grosvenor-Strathmore,39.03,-77.1,18.55,13.65
7146,Silver Spring,38.99,-77.03,Grosvenor-Strathmore,39.03,-77.1,15.08,6.55
7338,Southern Ave,38.84,-76.98,Grosvenor-Strathmore,39.03,-77.1,39.83,29.83
7434,Spring Hill,38.93,-77.24,Grosvenor-Strathmore,39.03,-77.1,17.63,13.64
7530,Stadium-Armory,38.89,-76.98,Grosvenor-Strathmore,39.03,-77.1,27.68,23.83
7626,Suitland,38.84,-76.93,Grosvenor-Strathmore,39.03,-77.1,34.05,30.52
7722,Takoma,38.98,-77.02,Grosvenor-Strathmore,39.03,-77.1,20.12,8.07
7818,Tenleytown-AU,38.95,-77.08,Grosvenor-Strathmore,39.03,-77.1,18.88,5.78
7914,Twinbrook,39.06,-77.12,Grosvenor-Strathmore,39.03,-77.1,10.88,3.16
8010,Tysons Corner,38.92,-77.22,Grosvenor-Strathmore,39.03,-77.1,16.38,12.61
8106,U Street,38.92,-77.03,Grosvenor-Strathmore,39.03,-77.1,32.72,11.91
8202,Union Station,38.9,-77.01,Grosvenor-Strathmore,39.03,-77.1,41.53,13.67
8298,Van Dorn Street,38.8,-77.13,Grosvenor-Strathmore,39.03,-77.1,30.55,25.54
8490,Vienna,38.88,-77.27,Grosvenor-Strathmore,39.03,-77.1,26.33,21.93
8586,Virginia Sq-GMU,38.88,-77.1,Grosvenor-Strathmore,39.03,-77.1,25.62,18.75
8778,West Falls Church,38.9,-77.19,Grosvenor-Strathmore,39.03,-77.1,21.57,17.21
8874,West Hyattsville,38.96,-76.97,Grosvenor-Strathmore,39.03,-77.1,27.12,11.86
8970,Wheaton,39.04,-77.05,Grosvenor-Strathmore,39.03,-77.1,10.9,6.29
9066,White Flint,39.05,-77.11,Grosvenor-Strathmore,39.03,-77.1,5.53,1.78
9162,Wiehle-Reston East,38.95,-77.34,Grosvenor-Strathmore,39.03,-77.1,21.68,18.78
9258,Woodley Park,38.92,-77.05,Grosvenor-Strathmore,39.03,-77.1,26.3,9.17
42,Addison Road,38.89,-76.9,Herndon,38.95,-77.38,50.18,37.04
138,Anacostia,38.86,-77.0,Herndon,38.95,-77.38,34.92,29.94
234,Archives,38.89,-77.02,Herndon,38.95,-77.38,33.67,25.26
4651,Archives,38.89,-77.02,Herndon,38.95,-77.38,30.93,26.91
330,Arlington Cemetery,38.88,-77.06,Herndon,38.95,-77.38,27.73,23.76
426,Ashburn,39.0,-77.49,Herndon,38.95,-77.38,6.88,7.06
522,Ballston-MU,38.88,-77.11,Herndon,38.95,-77.38,24.77,19.8
618,Benning Road,38.89,-76.94,Herndon,38.95,-77.38,44.03,34.42
714,Bethesda,38.98,-77.09,Herndon,38.95,-77.38,32.45,22.3
810,Braddock Road,38.81,-77.05,Herndon,38.95,-77.38,38.98,32.05
906,Branch Ave,38.83,-76.91,Herndon,38.95,-77.38,42.58,39.14
1002,Brookland-CUA,38.93,-76.99,Herndon,38.95,-77.38,44.55,31.47
1098,Capitol Heights,38.89,-76.91,Herndon,38.95,-77.38,47.53,35.79
1194,Capitol South,38.89,-77.01,Herndon,38.95,-77.38,34.58,28.36
1290,Cheverly,38.92,-76.92,Herndon,38.95,-77.38,44.93,35.31
1386,Clarendon,38.89,-77.1,Herndon,38.95,-77.38,26.62,21.8
1482,Cleveland Park,38.94,-77.06,Herndon,38.95,-77.38,34.93,27.19
8395,Cleveland Park,38.94,-77.06,Herndon,38.95,-77.38,37.72,27.83
1578,College Park-U of Md,38.98,-76.93,Herndon,38.95,-77.38,47.85,35.62
1674,Columbia Heights,38.93,-77.03,Herndon,38.95,-77.38,40.32,27.45
1770,Congress Heights,38.85,-76.99,Herndon,38.95,-77.38,40.62,32.39
1866,Court House,38.89,-77.09,Herndon,38.95,-77.38,26.8,21.64
1962,Crystal City,38.86,-77.05,Herndon,38.95,-77.38,28.58,25.38
2058,Deanwood,38.91,-76.93,Herndon,38.95,-77.38,44.7,33.87
2154,Dulles Airport,38.96,-77.45,Herndon,38.95,-77.38,7.0,4.28
2250,Dunn Loring,38.88,-77.23,Herndon,38.95,-77.38,17.62,16.12
2346,Dupont Circle,38.91,-77.04,Herndon,38.95,-77.38,32.42,25.23
2442,East Falls Church,38.89,-77.16,Herndon,38.95,-77.38,21.72,17.25
2538,Eastern Market,38.88,-77.0,Herndon,38.95,-77.38,35.12,28.99
2634,Eisenhower Ave,38.8,-77.07,Herndon,38.95,-77.38,35.18,30.03
2730,Farragut West,38.9,-77.04,Herndon,38.95,-77.38,33.07,25.16
2826,Farragut West,38.9,-77.04,Herndon,38.95,-77.38,30.13,24.52
2922,Waterfront,38.88,-77.02,Herndon,38.95,-77.38,31.68,27.51
8683,Waterfront,38.88,-77.02,Herndon,38.95,-77.38,34.58,26.11
3018,Smithsonian,38.89,-77.03,Herndon,38.95,-77.38,31.42,24.91
7243,Smithsonian,38.89,-77.03,Herndon,38.95,-77.38,31.55,25.23
3114,Foggy Bottom-GWU,38.9,-77.05,Herndon,38.95,-77.38,28.53,24.2
3210,Forest Glen,39.02,-77.04,Herndon,38.95,-77.38,28.38,25.72
3306,Fort Totten,38.95,-77.0,Herndon,38.95,-77.38,49.52,30.72
3402,Franconia-Springfield,38.77,-77.17,Herndon,38.95,-77.38,36.65,30.53
3498,Friendship Heights,38.96,-77.09,Herndon,38.95,-77.38,31.97,22.41
3594,Gallery Place,38.9,-77.02,Herndon,38.95,-77.38,35.83,25.56
4459,Gallery Place,38.9,-77.02,Herndon,38.95,-77.38,33.68,28.27
3690,Georgia Ave-Petworth,38.94,-77.02,Herndon,38.95,-77.38,41.52,29.1
3786,Glenmont,39.06,-77.05,Herndon,38.95,-77.38,39.38,28.67
3882,Greenbelt,39.01,-76.91,Herndon,38.95,-77.38,36.65,34.07
3978,Greensboro,38.92,-77.23,Herndon,38.95,-77.38,14.92,11.7
4074,Grosvenor-Strathmore,39.03,-77.1,Herndon,38.95,-77.38,29.72,23.84
4267,Huntington,38.79,-77.08,Herndon,38.95,-77.38,34.03,29.9
4363,Innovation Center,38.96,-77.42,Herndon,38.95,-77.38,6.15,2.77
4555,King St-Old Town,38.81,-77.06,Herndon,38.95,-77.38,33.77,30.22
4747,Landover,38.93,-76.89,Herndon,38.95,-77.38,46.95,41.91
4843,Largo Town Center,38.9,-76.85,Herndon,38.95,-77.38,46.97,42.24
