,station_name_o,station_name_d,bus_transit_minutes,metro_transit_minutes,bus_competativeness_index
725,Cleveland Park,Medical Center,21.62,13,0.6012950971322849
726,Cleveland Park,Silver Spring,46.7,32,0.6852248394004282
727,Cleveland Park,Silver Spring,60.68,32,0.5273566249176005
728,Cleveland Park,Bethesda,17.43,10,0.5737234652897304
729,Cleveland Park,Bethesda,19.27,10,0.5189413596263622
730,Cleveland Park,College Park-U of Md,41.53,40,0.963159162051529
731,Cleveland Park,College Park-U of Md,52.52,40,0.7616146230007615
732,Cleveland Park,Prince George's Plaza,91.5,37,0.40437158469945356
733,Cleveland Park,Prince George's Plaza,40.2,37,0.9203980099502487
734,Cleveland Park,West Hyattsville,36.97,34,0.9196645929131728
735,Cleveland Park,West Hyattsville,80.45,34,0.4226227470478558
736,Cleveland Park,New Carrollton,102.37,44,0.4298134219009475
737,Cleveland Park,New Carrollton,113.35,44,0.388178209086899
738,Cleveland Park,Landover,89.55,41,0.45784477945281965
739,Cleveland Park,Landover,94.52,41,0.43377063055438003
740,Cleveland Park,Cheverly,96.17,38,0.39513361755225124
741,Cleveland Park,Cheverly,93.58,38,0.4060696730070528
742,Cleveland Park,West Falls Church,102.77,39,0.3794881774837015
743,Cleveland Park,West Falls Church,122.1,39,0.31941031941031944
744,Cleveland Park,Rosslyn,53.62,24,0.44759418127564343
745,Cleveland Park,Rosslyn,58.58,24,0.4096961420279959
746,Cleveland Park,Court House,52.05,27,0.5187319884726225
747,Cleveland Park,Court House,71.38,27,0.3782572149061362
748,Cleveland Park,Addison Road,93.7,39,0.41622198505869795
749,Cleveland Park,Addison Road,98.67,39,0.3952569169960474
750,Cleveland Park,Clarendon,54.88,29,0.5284256559766763
751,Cleveland Park,Clarendon,74.22,29,0.39073026138507144
752,Cleveland Park,East Falls Church,74.13,36,0.48563334682314857
753,Cleveland Park,East Falls Church,93.47,36,0.3851503156092864
754,Cleveland Park,Arlington Cemetery,51.6,26,0.5038759689922481
755,Cleveland Park,Arlington Cemetery,56.57,26,0.4596075658476224
756,Cleveland Park,Virginia Sq-GMU,61.73,30,0.48598736432852746
757,Cleveland Park,Virginia Sq-GMU,81.07,30,0.37005057357838905
758,Cleveland Park,Dunn Loring,101.27,43,0.42460748494124617
759,Cleveland Park,Dunn Loring,120.6,43,0.3565505804311775
760,Cleveland Park,Ballston-MU,84.02,32,0.38086169959533445
761,Cleveland Park,Ballston-MU,64.68,32,0.494743351886209
762,Cleveland Park,Vienna,138.48,47,0.3393991912189486
763,Cleveland Park,Vienna,157.82,47,0.297807628944367
764,Cleveland Park,Pentagon,84.53,26,0.30758310658937654
765,Cleveland Park,Pentagon,79.57,26,0.3267563151941687
766,Cleveland Park,Pentagon City,74.17,27,0.3640285829850344
767,Cleveland Park,Pentagon City,69.2,27,0.3901734104046243
768,Cleveland Park,Crystal City,78.02,29,0.37169956421430406
769,Cleveland Park,Crystal City,73.05,29,0.3969883641341547
770,Cleveland Park,Ronald Reagan Washington National Airport,57.55,31,0.5386620330147698
771,Cleveland Park,Ronald Reagan Washington National Airport,62.52,31,0.49584133077415227
772,Cleveland Park,Naylor Road,85.68,36,0.4201680672268907
773,Cleveland Park,Naylor Road,80.72,36,0.445986124876115
774,Cleveland Park,Suitland,97.9,39,0.3983656792645556
775,Cleveland Park,Suitland,102.87,39,0.379119276757072
776,Cleveland Park,Southern Ave,83.2,33,0.39663461538461536
777,Cleveland Park,Southern Ave,88.17,33,0.374276964954066
778,Cleveland Park,Branch Ave,105.88,42,0.3966754816773706
779,Cleveland Park,Branch Ave,100.92,42,0.4161712247324614
780,Cleveland Park,Braddock Road,105.32,36,0.3418154196733764
781,Cleveland Park,Braddock Road,100.35,36,0.3587443946188341
782,Cleveland Park,King St-Old Town,116.73,38,0.3255375653216825
783,Cleveland Park,King St-Old Town,111.77,38,0.3399838954996869
784,Cleveland Park,Eisenhower Ave,116.92,40,0.3421142661648991
785,Cleveland Park,Eisenhower Ave,111.95,40,0.3573023671281822
786,Cleveland Park,Van Dorn Street,123.37,47,0.38096782037772553
787,Cleveland Park,Van Dorn Street,128.33,47,0.36624327904620896
788,Cleveland Park,Huntington,117.73,42,0.3567484923129194
789,Cleveland Park,Huntington,122.7,42,0.3422982885085574
790,Cleveland Park,Franconia-Springfield,141.75,53,0.37389770723104054
791,Cleveland Park,Franconia-Springfield,146.72,53,0.3612322791712105
792,Cleveland Park,Capitol Heights,78.55,37,0.4710375556970083
793,Cleveland Park,Capitol Heights,83.52,37,0.44300766283524906
794,Cleveland Park,Largo Town Center,99.77,45,0.4510373859877719
