,station_name_o,lat_o,lon_o,station_name_d,lat_d,lon_d,google_driving_minutes,google_driving_miles
4998,McLean,38.92454,-77.2089,Benning Road,38.89054,-76.93736000000001,35.17,20.17
5094,McPherson Sq,38.901340000000005,-77.03295,Benning Road,38.89054,-76.93736000000001,23.62,8.78
5190,Medical Center,38.99886,-77.09748,Benning Road,38.89054,-76.93736000000001,32.3,21.51
5286,Metro Center,38.898320000000005,-77.02811000000001,Benning Road,38.89054,-76.93736000000001,19.8,8.15
5382,Minnesota Ave,38.89878,-76.94642,Benning Road,38.89054,-76.93736000000001,5.7,1.04
5478,Morgan Boulevard,38.89403,-76.86868000000001,Benning Road,38.89054,-76.93736000000001,13.75,4.7
5574,Mt Vernon Sq,38.905640000000005,-77.02224000000001,Benning Road,38.89054,-76.93736000000001,19.12,8.18
5670,Navy Yard-Ballpark,38.87644,-77.00551,Benning Road,38.89054,-76.93736000000001,15.47,5.71
5766,Naylor Road,38.85085,-76.95661000000001,Benning Road,38.89054,-76.93736000000001,14.68,3.76
5862,New Carrollton,38.94852,-76.87245,Benning Road,38.89054,-76.93736000000001,18.43,7.82
5958,NoMa-Gallaudet U,38.907230000000006,-77.00372,Benning Road,38.89054,-76.93736000000001,19.63,4.82
6054,Pentagon,38.8684,-77.05361,Benning Road,38.89054,-76.93736000000001,20.95,9.85
6150,Pentagon City,38.862790000000004,-77.05932,Benning Road,38.89054,-76.93736000000001,19.53,9.46
6246,Potomac Ave,38.88092,-76.98537,Benning Road,38.89054,-76.93736000000001,11.0,3.11
6342,Prince George's Plaza,38.96508,-76.95559,Benning Road,38.89054,-76.93736000000001,23.73,7.31
6438,Reston Town Center,38.952980000000004,-77.3605,Benning Road,38.89054,-76.93736000000001,49.25,39.97
6534,Rhode Island Ave,38.92045,-76.99589,Benning Road,38.89054,-76.93736000000001,22.1,5.18
6630,Rockville,39.08437,-77.14697000000001,Benning Road,38.89054,-76.93736000000001,40.9,28.75
6726,Ronald Reagan Washington National Airport,38.853390000000005,-77.04441000000001,Benning Road,38.89054,-76.93736000000001,18.57,9.61
6822,Rosslyn,38.895970000000005,-77.07155,Benning Road,38.89054,-76.93736000000001,21.58,10.88
6918,Shady Grove,39.119980000000005,-77.16516,Benning Road,38.89054,-76.93736000000001,42.75,34.57
7014,Shaw-Howard U,38.91386,-77.02193000000001,Benning Road,38.89054,-76.93736000000001,22.2,8.73
7110,Silver Spring,38.99396,-77.03148,Benning Road,38.89054,-76.93736000000001,29.8,17.95
7206,Smithsonian,38.88801,-77.02850000000001,Benning Road,38.89054,-76.93736000000001,16.05,7.45
7302,Southern Ave,38.84035,-76.97566,Benning Road,38.89054,-76.93736000000001,19.18,4.98
7398,Spring Hill,38.928900000000006,-77.24123,Benning Road,38.89054,-76.93736000000001,33.83,23.94
7494,Stadium-Armory,38.88662,-76.97726,Benning Road,38.89054,-76.93736000000001,6.55,2.39
7590,Suitland,38.84427,-76.93213,Benning Road,38.89054,-76.93736000000001,15.92,5.08
7686,Takoma,38.975530000000006,-77.01709000000001,Benning Road,38.89054,-76.93736000000001,35.0,8.74
7782,Tenleytown-AU,38.94809,-77.07979,Benning Road,38.89054,-76.93736000000001,33.77,14.03
7878,Twinbrook,39.062200000000004,-77.12095000000001,Benning Road,38.89054,-76.93736000000001,40.05,25.04
