"A202100 - Total Workers (1) (Workers 16 years and over)"
"Current date: 1/11/2024 1:34:33 PM (Eastern Standard Time)"
"WORKPLACE","Output","Workers 16 and Over",
"TAZ 00010128, District of Columbia, District of Columbia","Margin of Error","102"
"TAZ 00010129, District of Columbia, District of Columbia","Estimate","195"
"TAZ 00010129, District of Columbia, District of Columbia","Margin of Error","96"
"TAZ 00010131, District of Columbia, District of Columbia","Estimate","240"
"TAZ 00010131, District of Columbia, District of Columbia","Margin of Error","94"
"TAZ 00010132, District of Columbia, District of Columbia","Estimate","525"
"TAZ 00010132, District of Columbia, District of Columbia","Margin of Error","172"
"TAZ 00010133, District of Columbia, District of Columbia","Estimate","655"
"TAZ 00010133, District of Columbia, District of Columbia","Margin of Error","192"
"TAZ 00010134, District of Columbia, District of Columbia","Estimate","455"
"TAZ 00010134, District of Columbia, District of Columbia","Margin of Error","161"
"TAZ 00010143, District of Columbia, District of Columbia","Estimate","475"
"TAZ 00010143, District of Columbia, District of Columbia","Margin of Error","148"
"TAZ 00010144, District of Columbia, District of Columbia","Estimate","405"
"TAZ 00010144, District of Columbia, District of Columbia","Margin of Error","127"
"TAZ 00010147, District of Columbia, District of Columbia","Estimate","1,855"
"TAZ 00010147, District of Columbia, District of Columbia","Margin of Error","310"
"TAZ 00010148, District of Columbia, District of Columbia","Estimate","305"
"TAZ 00010148, District of Columbia, District of Columbia","Margin of Error","135"
"TAZ 00010149, District of Columbia, District of Columbia","Estimate","1,115"
"TAZ 00010149, District of Columbia, District of Columbia","Margin of Error","202"
"TAZ 00010150, District of Columbia, District of Columbia","Estimate","1,360"
"TAZ 00010150, District of Columbia, District of Columbia","Margin of Error","306"
"TAZ 00010151, District of Columbia, District of Columbia","Estimate","1,730"
"TAZ 00010151, District of Columbia, District of Columbia","Margin of Error","391"
"TAZ 00010152, District of Columbia, District of Columbia","Estimate","185"
"TAZ 00010152, District of Columbia, District of Columbia","Margin of Error","86"
"TAZ 00010153, District of Columbia, District of Columbia","Estimate","440"
"TAZ 00010153, District of Columbia, District of Columbia","Margin of Error","139"
"TAZ 00010154, District of Columbia, District of Columbia","Estimate","830"
"TAZ 00010154, District of Columbia, District of Columbia","Margin of Error","240"
"TAZ 00010155, District of Columbia, District of Columbia","Estimate","1,715"
"TAZ 00010155, District of Columbia, District of Columbia","Margin of Error","322"
"TAZ 00010156, District of Columbia, District of Columbia","Estimate","355"
"TAZ 00010156, District of Columbia, District of Columbia","Margin of Error","149"
"TAZ 00010157, District of Columbia, District of Columbia","Estimate","820"
"TAZ 00010157, District of Columbia, District of Columbia","Margin of Error","278"
"TAZ 00010159, District of Columbia, District of Columbia","Estimate","380"
"TAZ 00010159, District of Columbia, District of Columbia","Margin of Error","154"
"TAZ 00010160, District of Columbia, District of Columbia","Estimate","630"
"TAZ 00010160, District of Columbia, District of Columbia","Margin of Error","208"
"TAZ 00010161, District of Columbia, District of Columbia","Estimate","1,120"
"TAZ 00010161, District of Columbia, District of Columbia","Margin of Error","260"
"TAZ 00010163, District of Columbia, District of Columbia","Estimate","235"
"TAZ 00010163, District of Columbia, District of Columbia","Margin of Error","140"
"TAZ 00010164, District of Columbia, District of Columbia","Estimate","190"
"TAZ 00010164, District of Columbia, District of Columbia","Margin of Error","88"
"TAZ 00010165, District of Columbia, District of Columbia","Estimate","250"
"TAZ 00010165, District of Columbia, District of Columbia","Margin of Error","109"
"TAZ 00010166, District of Columbia, District of Columbia","Estimate","825"
"TAZ 00010166, District of Columbia, District of Columbia","Margin of Error","205"
"TAZ 00010167, District of Columbia, District of Columbia","Estimate","360"
"TAZ 00010167, District of Columbia, District of Columbia","Margin of Error","130"
"TAZ 00010168, District of Columbia, District of Columbia","Estimate","530"
"TAZ 00010168, District of Columbia, District of Columbia","Margin of Error","164"
"TAZ 00010169, District of Columbia, District of Columbia","Estimate","4,390"
"TAZ 00010169, District of Columbia, District of Columbia","Margin of Error","453"
"TAZ 00010170, District of Columbia, District of Columbia","Estimate","1,060"
"TAZ 00010170, District of Columbia, District of Columbia","Margin of Error","258"
"TAZ 00010173, District of Columbia, District of Columbia","Estimate","205"
"TAZ 00010173, District of Columbia, District of Columbia","Margin of Error","95"
"TAZ 00010174, District of Columbia, District of Columbia","Estimate","170"
"TAZ 00010174, District of Columbia, District of Columbia","Margin of Error","106"
"TAZ 00010175, District of Columbia, District of Columbia","Estimate","670"
"TAZ 00010175, District of Columbia, District of Columbia","Margin of Error","179"
"TAZ 00010176, District of Columbia, District of Columbia","Estimate","120"
"TAZ 00010176, District of Columbia, District of Columbia","Margin of Error","68"
"TAZ 00010177, District of Columbia, District of Columbia","Estimate","255"
"TAZ 00010177, District of Columbia, District of Columbia","Margin of Error","118"
"TAZ 00010178, District of Columbia, District of Columbia","Estimate","770"
"TAZ 00010178, District of Columbia, District of Columbia","Margin of Error","197"
"TAZ 00010179, District of Columbia, District of Columbia","Estimate","1,210"
"TAZ 00010179, District of Columbia, District of Columbia","Margin of Error","242"
"TAZ 00010180, District of Columbia, District of Columbia","Estimate","2,020"
"TAZ 00010180, District of Columbia, District of Columbia","Margin of Error","285"
"TAZ 00010183, District of Columbia, District of Columbia","Estimate","900"
"TAZ 00010183, District of Columbia, District of Columbia","Margin of Error","211"
"TAZ 00010184, District of Columbia, District of Columbia","Estimate","1,115"
"TAZ 00010184, District of Columbia, District of Columbia","Margin of Error","215"
"TAZ 00010185, District of Columbia, District of Columbia","Estimate","1,105"
"TAZ 00010185, District of Columbia, District of Columbia","Margin of Error","220"
"TAZ 00010186, District of Columbia, District of Columbia","Estimate","2,445"
"TAZ 00010186, District of Columbia, District of Columbia","Margin of Error","396"
"TAZ 00010187, District of Columbia, District of Columbia","Estimate","830"
"TAZ 00010187, District of Columbia, District of Columbia","Margin of Error","194"
"TAZ 00010188, District of Columbia, District of Columbia","Estimate","910"
"TAZ 00010188, District of Columbia, District of Columbia","Margin of Error","194"
"TAZ 00010189, District of Columbia, District of Columbia","Estimate","1,270"
"TAZ 00010189, District of Columbia, District of Columbia","Margin of Error","230"
"TAZ 00010190, District of Columbia, District of Columbia","Estimate","1,365"
"TAZ 00010190, District of Columbia, District of Columbia","Margin of Error","261"
"TAZ 00010191, District of Columbia, District of Columbia","Estimate","1,085"
"TAZ 00010191, District of Columbia, District of Columbia","Margin of Error","196"
"TAZ 00010192, District of Columbia, District of Columbia","Estimate","930"
"TAZ 00010192, District of Columbia, District of Columbia","Margin of Error","222"
"TAZ 00010193, District of Columbia, District of Columbia","Estimate","790"
"TAZ 00010193, District of Columbia, District of Columbia","Margin of Error","190"
